swarm_name,date,hour,client_count,cpu_utilization,mem_usage,tx_power,utilization
AP-AULAJ10,2025-04-29,12,0.0,4.25,66.84612667421906,16.0,1.0
AP-AULAJ11,2025-03-24,21,4.870094722598106,4.62787550744249,60.40353616605937,,
AP-AULAJ11,2025-04-09,6,1.6226415094339623,2.6056603773584905,55.2857046621064,,
AP-AULAJ11,2025-04-15,4,0.0,2.0,57.68101620750495,,
AP-AULAJ11,2025-04-15,20,0.8569753810082064,2.7022274325908557,57.60141598900284,,
AP-AULAJ11,2025-04-28,10,0.0,3.0,55.07210177888482,,
AP-AULAJ11,2025-04-28,21,0.0,2.25,50.528371385458655,,
AP-AULAJ11,2025-04-28,23,0.056179775280898875,2.0,51.29462235486897,,
AP-AULAJ12,2025-03-30,3,1.496617050067659,3.776725304465494,60.05628474840212,,
AP-AULAJ12,2025-04-09,6,0.29056603773584905,2.279245283018868,55.69520860295288,,
AP-AULAJ12,2025-04-15,4,0.0,2.0,58.89351457776197,,
AP-AULAJ12,2025-04-15,20,0.40211019929660025,2.4325908558030482,56.50787743189468,,
AP-AULAJ12,2025-04-28,10,0.0,3.0,54.741210411620614,,
AP-AULAJ12,2025-04-28,21,0.0,2.0,51.47244438550219,,
AP-AULAJ12,2025-04-28,23,0.02247191011235955,2.0112359550561796,51.32671494223395,,
AP-AULAJ13,2025-03-30,3,7.230040595399188,6.142083897158322,60.73876711795673,,
AP-AULAJ13,2025-04-09,6,0.5924528301886792,2.4547169811320755,55.44475047084745,,
AP-AULAJ13,2025-04-15,4,0.0,2.0,58.69348179524607,,
AP-AULAJ13,2025-04-15,20,2.5,3.149882903981265,57.649880960137764,,
AP-AULAJ13,2025-04-28,10,0.0,4.0,56.26191933606326,,
AP-AULAJ13,2025-04-28,21,0.0,2.25,47.291984312735885,,
AP-AULAJ13,2025-04-28,23,0.0,2.0112359550561796,50.25300881840581,,
AP-AULAJ14,2025-03-24,20,4.49255751014885,5.2774018944519625,60.752121417214724,,
AP-AULAJ14,2025-04-09,6,3.7037735849056603,2.8433962264150945,56.600604463021185,,
AP-AULAJ14,2025-04-15,4,0.0,2.0,58.568344878631166,,
AP-AULAJ14,2025-04-15,20,3.856975381008206,3.4525205158264947,59.030392474716784,,
AP-AULAJ14,2025-04-28,10,0.0,7.0,58.748724641782594,,
AP-AULAJ14,2025-04-28,21,0.0,2.0,47.592353192735054,,
AP-AULAJ14,2025-04-28,23,0.0,2.033707865168539,50.25987866636381,,
AP-AULAJ15,2025-03-30,3,4.553450608930988,14.722598105548037,58.49384160448365,,
AP-AULAJ15,2025-04-09,6,0.9943396226415094,2.547169811320755,54.22568980081146,,
AP-AULAJ15,2025-04-15,4,0.0,2.0,55.799994042122194,,
AP-AULAJ15,2025-04-15,20,0.0,2.0,55.799994042122194,,
AP-AULAJ15,2025-04-15,21,1.2567409144196953,2.9648300117233295,57.081830973963044,,
AP-AULAJ15,2025-04-28,10,0.4,9.0,55.64573728164951,,
AP-AULAJ15,2025-04-28,21,0.0,2.0,48.06201764104703,,
AP-AULAJ15,2025-04-28,23,0.0,2.0,51.02572955005432,,
AP-AULAJ16,2025-03-02,19,1.451962110960758,4.165087956698241,59.95206720696863,,
AP-AULAJ16,2025-04-09,6,2.050943396226415,2.7566037735849056,58.253874425662524,,
AP-AULAJ16,2025-04-15,4,0.009345794392523364,2.0,57.52898163827891,,
AP-AULAJ16,2025-04-15,20,2.148711943793911,3.1627634660421546,60.05169860990561,,
AP-AULAJ16,2025-04-28,10,0.0,4.0,60.12529875319949,,
AP-AULAJ16,2025-04-28,21,1.0,3.0,54.17570433286663,,
AP-AULAJ16,2025-04-28,23,1.7191011235955056,2.4831460674157304,55.603189804714205,,
AP-AULAJ17,2025-03-02,19,1.6224627875507442,4.213802435723951,59.352733467568946,,
AP-AULAJ17,2025-04-09,6,1.741509433962264,2.8245283018867924,55.79284521702608,,
AP-AULAJ17,2025-04-15,4,0.0,1.9906542056074767,59.329247468421265,,
AP-AULAJ17,2025-04-15,20,0.0,2.0,60.60866739459711,,
AP-AULAJ17,2025-04-15,21,1.23915592028136,2.7526377491207503,57.9996006977065,,
AP-AULAJ17,2025-04-28,10,0.0,4.0,55.032047224201825,,
AP-AULAJ17,2025-04-28,21,0.0,2.0,47.66380207557568,,
AP-AULAJ17,2025-04-28,23,0.2808988764044944,2.044943820224719,51.977608626801086,,
AP-AULAJ18,2025-03-24,20,1.5115020297699595,3.83085250338295,60.49266080885531,,
AP-AULAJ18,2025-04-09,6,1.3622641509433961,2.9037735849056605,55.81442708081801,,
AP-AULAJ18,2025-04-15,4,0.0,2.0,58.407987590995496,,
AP-AULAJ18,2025-04-15,20,0.9976580796252927,2.921545667447307,58.83775124848853,,
AP-AULAJ18,2025-04-28,10,0.0,3.0,57.10667050300528,,
AP-AULAJ18,2025-04-28,21,0.0,2.0,47.84259569698004,,
AP-AULAJ18,2025-04-28,23,0.011764705882352941,2.0,51.74187795172744,,
AP-AULAJ18,2025-04-29,12,0.25,2.25,51.56944339815581,,
AP-AULAJ19,2025-03-02,19,5.669824086603518,4.487144790257104,60.70905767629128,,
AP-AULAJ19,2025-04-09,6,6.049056603773585,3.292452830188679,56.10280637013874,,
AP-AULAJ19,2025-04-15,4,0.0,3.0,59.527906928782734,,
AP-AULAJ19,2025-04-15,20,4.317702227432591,3.3681125439624853,59.58725393844454,,
AP-AULAJ19,2025-04-28,10,0.0,4.0,57.28531732573781,,
AP-AULAJ19,2025-04-28,21,0.0,2.0,52.08304630015788,,
AP-AULAJ19,2025-04-28,23,0.5393258426966292,2.056179775280899,54.5528494512895,,
AP-AULAJ20,2025-03-30,3,5.2841677943166445,4.7618403247631935,59.35705660827021,,
AP-AULAJ20,2025-04-09,6,2.690566037735849,2.973584905660377,54.83491006501307,,
AP-AULAJ20,2025-04-15,4,0.0,2.0,59.68930311734499,,
AP-AULAJ20,2025-04-15,20,2.910902696365768,3.5427901524032825,58.321289320747695,,
AP-AULAJ20,2025-04-28,10,0.0,7.0,54.32975163669778,,
AP-AULAJ20,2025-04-28,21,0.0,3.5,51.297511390144756,,
AP-AULAJ20,2025-04-28,23,0.07865168539325842,2.5280898876404496,52.512388826296274,,
AP-AULAJ21,2025-03-30,3,5.945872801082544,6.3234100135318,60.12723226210645,,
AP-AULAJ21,2025-04-09,6,2.871698113207547,3.086792452830189,54.00040526296572,,
AP-AULAJ21,2025-04-15,4,0.0,2.0,56.58265295132643,,
AP-AULAJ21,2025-04-15,20,3.309133489461358,3.649882903981265,57.836666837215965,,
AP-AULAJ21,2025-04-28,10,0.0,7.0,55.13809673302062,,
AP-AULAJ21,2025-04-28,21,0.0,2.0,49.35280225058834,,
AP-AULAJ21,2025-04-28,23,0.047058823529411764,2.023529411764706,53.37718689161744,,
AP-AULAJ21,2025-04-29,12,1.0,3.0,52.91943978905675,,
AP-AULAJ22,2025-03-24,20,6.894451962110961,6.7577807848443845,60.83057903062116,,
AP-AULAJ22,2025-04-09,6,3.792452830188679,3.4150943396226414,56.24150622749555,,
AP-AULAJ22,2025-04-15,4,0.0,2.0,61.16210554838828,,
AP-AULAJ22,2025-04-15,20,3.7540983606557377,3.946135831381733,56.149622523704714,,
AP-AULAJ22,2025-04-28,10,0.0,6.0,52.72749425981389,,
AP-AULAJ22,2025-04-28,21,0.0,2.25,47.459549625971306,,
AP-AULAJ22,2025-04-28,23,0.24719101123595505,2.2134831460674156,52.69879163958609,,
AP-AULAJ23,2025-03-02,19,2.259259259259259,3.012608353033885,60.892631178796584,,
AP-AULAJ23,2025-04-15,4,0.0,2.0,63.73623100067141,,
AP-AULAJ23,2025-04-15,20,0.032467532467532464,2.0779220779220777,67.53618119709463,,
AP-AULAJ23,2025-04-18,10,1.8757142857142857,3.374285714285714,59.77162491746539,,
AP-AULAJ23,2025-04-28,10,0.0,3.0,57.82308382619495,,
AP-AULAJ23,2025-04-28,21,1.0,2.0,52.477044984268915,,
AP-AULAJ23,2025-04-28,23,0.11235955056179775,1.4943820224719102,57.05181193186299,,
AP-AULAJ24,2025-04-01,14,11.93853427895981,11.55003940110323,69.31999796919143,15.112687155240346,7.218282111899133
AP-AULAJ24,2025-04-15,4,0.0,5.0,69.34917769755316,15.0,1.0
AP-AULAJ24,2025-04-15,20,12.532786885245901,14.730679156908666,69.62693142617978,15.028103044496486,8.756440281030445
AP-AULAJ24,2025-04-28,10,0.0,7.0,69.52099341698423,15.0,1.0
AP-AULAJ24,2025-04-28,21,0.0,4.75,66.48039559594991,15.0,1.0
AP-AULAJ24,2025-04-28,23,0.0,4.01123595505618,65.73950417618302,15.0,1.0
AP-AULAJ25,2025-04-01,14,6.917910447761194,8.158374792703151,66.75011424700085,15.0,4.5240464344941955
AP-AULAJ25,2025-04-14,10,0.047619047619047616,4.333333333333333,66.9664082144124,15.0,1.0
AP-AULAJ25,2025-04-15,4,0.0,5.009345794392523,66.95155313382143,15.0,1.0
AP-AULAJ25,2025-04-15,20,3.23094958968347,8.158264947245017,67.87706297671826,15.0,3.1629542790152403
AP-AULAJ25,2025-04-28,10,0.0,11.0,68.35389089450462,15.0,3.0
AP-AULAJ25,2025-04-28,21,0.0,5.75,66.09126321930572,15.0,1.5
AP-AULAJ25,2025-04-28,23,0.056179775280898875,4.089887640449438,65.3730558215156,15.0,1.0
AP-AULAJ26,2025-04-02,9,6.3120567375886525,8.20094562647754,67.26987063327898,15.445232466509061,4.278171788810087
AP-AULAJ26,2025-04-15,4,0.0,4.0,67.28040854491877,16.0,1.0
AP-AULAJ26,2025-04-15,20,5.614754098360656,9.826697892271662,67.90745558796823,15.585480093676814,4.07728337236534
AP-AULAJ26,2025-04-28,10,0.0,7.0,67.97365958015777,15.0,1.0
AP-AULAJ26,2025-04-28,21,0.0,4.5,65.3199376548607,15.0,1.0
AP-AULAJ26,2025-04-28,23,0.09411764705882353,4.011764705882353,66.02642899505872,15.0,1.0
AP-AULAJ26,2025-04-29,12,0.25,4.5,66.15924654135748,15.0,1.0
AP-AULAJ27,2025-04-01,16,1.401103230890465,5.268715524034673,65.27871179303199,15.0,1.508274231678487
AP-AULAJ27,2025-04-15,4,0.0,4.0,66.4485559566787,15.0,1.0
AP-AULAJ27,2025-04-15,20,0.0,4.089655172413793,66.69791069178325,15.0,1.0
AP-AULAJ27,2025-04-18,1,0.0,4.0,66.53212327851317,15.0,1.0
AP-AULAJ27,2025-04-18,2,0.0,22.0,65.4073071266212,15.0,1.0
AP-AULAJ27,2025-04-18,3,0.0,16.0,65.41566385880465,15.0,1.0
AP-AULAJ27,2025-04-18,4,0.8186968838526912,6.004249291784703,66.81703187580058,15.0,1.5524079320113315
AP-AULAJ27,2025-04-28,10,0.0,6.0,66.86889958550609,15.0,3.0
AP-AULAJ27,2025-04-28,22,0.0,10.666666666666666,65.20409055076436,15.0,1.6666666666666667
AP-AULAJ27,2025-04-28,23,0.0,5.865168539325842,66.01532416644413,15.0,1.0
AP-AULAJ28,2025-04-01,14,6.9468302658486705,7.447852760736196,66.6391484156768,15.0,4.020449897750511
AP-AULAJ28,2025-04-07,4,9.455128205128204,9.156410256410256,67.60183507644857,15.0,5.151282051282052
AP-AULAJ28,2025-04-15,4,0.0,4.0,68.20678897798571,15.0,1.0
AP-AULAJ28,2025-04-15,20,8.425058548009368,11.017564402810304,68.80959584612701,15.0,5.959016393442623
AP-AULAJ28,2025-04-28,10,0.0,16.0,69.23761532290413,15.0,7.0
AP-AULAJ28,2025-04-28,21,0.0,4.25,65.17252457270985,15.0,2.5
AP-AULAJ28,2025-04-28,23,0.023529411764705882,4.035294117647059,65.68476184910888,15.0,1.0
AP-AULAJ28,2025-04-29,12,0.0,4.25,65.85029717323087,15.0,1.0
AP-AULAJ29,2025-04-01,14,7.472813238770685,8.247438928289991,67.04910221112219,15.69818754925138,4.191489361702128
AP-AULAJ29,2025-04-15,4,0.0,5.0,67.03436288273834,16.0,1.0
AP-AULAJ29,2025-04-15,20,11.516998827667058,12.303634232121922,68.15154245676239,15.713950762016413,6.311840562719812
AP-AULAJ29,2025-04-28,10,0.0,23.0,69.26205876454071,16.0,8.0
AP-AULAJ29,2025-04-28,21,0.0,5.75,65.26185836618573,16.0,2.75
AP-AULAJ29,2025-04-28,23,0.0,4.033707865168539,65.77368293205996,16.0,1.0
AP-AULAJ30,2025-04-01,14,6.100078802206462,7.375886524822695,68.57958052911546,15.016548463356974,2.6989755713159966
AP-AULAJ30,2025-04-15,4,0.0,4.0,69.08705377661619,15.0,1.0
AP-AULAJ30,2025-04-15,20,3.652224824355972,9.355971896955504,69.69979366874131,15.137002341920375,3.160421545667447
AP-AULAJ30,2025-04-28,10,0.0,9.0,70.2113149892616,15.0,3.0
AP-AULAJ30,2025-04-28,21,0.0,5.0,66.03765527200119,15.0,1.5
AP-AULAJ30,2025-04-28,23,0.15730337078651685,4.179775280898877,66.82723237747106,15.0,1.0
AP-AULAJ31,2025-04-02,9,9.117415287628054,8.677698975571316,67.89633573514148,15.0,4.4026792750197
AP-AULAJ31,2025-04-15,4,0.0,5.0,68.46466836113079,15.0,1.0
AP-AULAJ31,2025-04-15,20,12.31535756154748,12.443141852286049,69.40765456703815,15.0,5.878077373974208
AP-AULAJ31,2025-04-28,10,0.0,17.0,71.30632437491643,15.0,8.0
AP-AULAJ31,2025-04-28,21,0.0,4.0,65.44462026225514,15.0,2.75
AP-AULAJ31,2025-04-28,23,0.43820224719101125,5.0,66.59502778777768,15.0,1.0449438202247192
AP-AULAJ32,2025-04-01,14,5.64344262295082,8.631967213114754,67.30917484738089,15.0,5.330327868852459
AP-AULAJ32,2025-04-14,11,0.0,3.979591836734694,64.34830064871745,15.0,1.0
AP-AULAJ32,2025-04-15,4,0.0,4.0,64.42255111186321,15.0,1.0
AP-AULAJ32,2025-04-15,20,6.495896834701055,9.169988276670574,66.04802592830706,15.0,4.304806565064478
AP-AULAJ32,2025-04-28,10,0.0,36.0,67.30150084298536,15.0,28.0
AP-AULAJ32,2025-04-28,21,0.0,5.25,65.52417569977186,15.0,7.75
AP-AULAJ32,2025-04-28,23,0.0449438202247191,4.056179775280899,66.17005131485435,15.0,1.0
AP-AULAJ33,2025-04-01,14,5.295508274231678,7.010244286840032,68.43961068247216,15.0,2.6966115051221435
AP-AULAJ33,2025-04-15,4,0.0,4.0,68.64320030982584,15.0,1.0
AP-AULAJ33,2025-04-15,20,5.4203747072599535,9.174473067915692,69.10127180326714,15.0,3.32903981264637
AP-AULAJ33,2025-04-28,10,0.0,8.0,70.4499682444177,15.0,2.0
AP-AULAJ33,2025-04-28,21,0.0,5.0,65.4213470895591,15.0,1.25
AP-AULAJ33,2025-04-28,23,0.2808988764044944,4.51685393258427,66.1168053526231,15.0,1.5280898876404494
AP-AULAJ34,2025-04-01,14,4.1465721040189125,6.094562647754137,66.38163964442984,15.0,2.095350669818755
AP-AULAJ34,2025-04-15,4,0.0,4.0,66.5513437625351,15.0,1.0
AP-AULAJ34,2025-04-15,20,0.0,4.0,67.73415433004078,15.0,1.0
AP-AULAJ34,2025-04-15,21,4.176056338028169,7.070422535211268,67.32154765162191,15.0,2.346244131455399
AP-AULAJ34,2025-04-28,10,0.0,7.0,67.73994854864453,15.0,2.0
AP-AULAJ34,2025-04-28,22,0.0,4.0,65.38312918533003,15.0,1.0
AP-AULAJ34,2025-04-28,23,0.0,4.0,65.56729651944715,15.0,1.0
AP-AULAJ34,2025-04-29,3,0.037037037037037035,4.037037037037037,65.65559468324581,15.0,1.0
AP-AULAJ35,2025-04-01,14,3.904649330181245,6.22301024428684,66.76648489288361,15.0,2.107171000788022
AP-AULAJ35,2025-04-15,4,0.0,5.0,67.08919451074183,15.0,1.0
AP-AULAJ35,2025-04-15,20,3.967174677608441,7.780773739742087,67.92597047934638,15.0,2.6541617819460726
AP-AULAJ35,2025-04-28,10,0.0,8.0,68.78259125551544,15.0,1.0
AP-AULAJ35,2025-04-28,21,0.0,4.0,64.98955375833583,15.0,1.0
AP-AULAJ35,2025-04-28,23,0.14606741573033707,4.056179775280899,65.6882966712225,15.0,1.0337078651685394
AP-B13-01,2025-03-28,10,1.0269482884195194,3.0910415149308084,60.544200942874134,,
AP-B13-01,2025-04-15,19,0.0,2.5,65.27583577854568,,
AP-B13-01,2025-04-15,21,0.8827667057444314,2.71746776084408,60.58832821677496,,
AP-B13-01,2025-04-28,10,0.0,5.0,55.77261071913877,,
AP-B13-01,2025-04-28,22,0.0,1.0,47.30264720732115,,
AP-B13-01,2025-04-28,23,0.03529411764705882,1.1176470588235294,51.29633307279974,,
AP-B13-01,2025-04-29,12,0.0,1.25,52.45165507983556,,
AP-B13-02,2025-03-28,10,0.8649618663077613,2.579632122027815,60.58540776033764,,
AP-B13-02,2025-04-28,10,0.0,7.0,59.74153122042545,,
AP-B13-02,2025-04-28,22,0.0,1.0,46.684784725834504,,
AP-B13-02,2025-04-28,23,0.0,1.0,51.30405358774101,,
AP-B13-02,2025-04-29,12,0.0,1.0,52.45402623643151,,
AP-BIBCIE01,2025-03-31,13,40.736111111111114,6.055555555555555,60.91215788470068,,
AP-BIBCIE01,2025-04-03,9,29.57274247491639,5.270903010033445,56.83050626497597,,
AP-BIBCIE01,2025-04-15,4,0.0,2.0,59.013925393620944,,
AP-BIBCIE01,2025-04-15,20,23.5807962529274,5.306791569086651,56.52109709528154,,
AP-BIBCIE01,2025-04-28,10,0.0,11.0,59.47428602854741,,
AP-BIBCIE01,2025-04-28,21,0.5,2.0,48.13410653029237,,
AP-BIBCIE01,2025-04-28,23,0.30337078651685395,2.5168539325842696,52.98267110431582,,
AP-BIBCIE02,2025-04-02,9,11.15130023640662,4.465721040189125,56.015030319790746,,
AP-BIBCIE02,2025-04-15,4,0.0,2.0,61.45843119911456,,
AP-BIBCIE02,2025-04-15,20,8.216393442622952,4.632786885245902,59.057289357370756,,
AP-BIBCIE02,2025-04-24,21,10.1440329218107,5.329218106995885,58.55119396677456,,
AP-BIBCIE02,2025-04-28,10,0.0,9.0,60.21220356693562,,
AP-BIBCIE02,2025-04-28,21,0.25,3.75,52.25457875798871,,
AP-BIBCIE02,2025-04-28,23,3.932584269662921,2.8876404494382024,54.92518619912963,,
AP-BIBCIE03,2025-04-03,6,13.384927066450567,4.512155591572123,58.02007287516654,,
AP-BIBCIE03,2025-04-15,4,0.0,2.0,63.271670491547816,,
