associated_device_name,band,signal_db,hour,date,swarm_name,client_count,cpu_utilization,mem_usage,tx_power,utilization
AP-CCOM18,5.0,-84.0,9.0,2025-04-02,AP-CCOM18,7.157545605306799,9.690713101160862,76.0005730486936,15.0,1.6326699834162521
AP-DRET02,5.0,-57.0,9.0,2025-04-02,AP-DRET02,13.303388494877856,12.479905437352246,76.66042954593891,16.016548463356973,2.178092986603625
AP-MRB05,5.0,-64.0,9.0,2025-04-02,AP-MRB05,6.804570527974783,5.792750197005516,66.30574631461609,20.62647754137116,2.479905437352246
AP-CIEN14,5.0,-86.0,9.0,2025-04-02,AP-CIEN14,4.774625689519307,10.331757289204099,72.50991557409637,17.23798266351458,2.771473601260835
AP-MRB06,2.4,-71.0,9.0,2025-04-02,AP-MRB06,1.9330181245074862,5.077226162332545,65.61186831566789,18.0,1.4688731284475964
AP-GTIP05,2.4,-57.0,9.0,2025-04-02,AP-GTIP05,3.555724033358605,3.152388172858226,58.31534569449332,,
AP-POL10,5.0,-76.0,9.0,2025-04-02,AP-POL10,3.3325453112687153,3.925925925925926,58.613893051042744,,
AP-LLET64,5.0,-63.0,9.0,2025-04-02,AP-LLET64,3.465721040189125,7.598896769109535,70.20942310765834,15.545311268715524,2.4286840031520884
AP-ETSE13,2.4,-68.0,9.0,2025-04-02,AP-ETSE13,7.055555555555555,3.6464646464646466,57.663506997225426,,
AP-VET77,2.4,-54.0,9.0,2025-04-02,AP-VET77,1.2293144208037825,2.0315208825847124,61.33445800668813,,
AP-REC09,2.4,-66.0,9.0,2025-04-02,AP-REC09,6.240346729708432,2.4814814814814814,57.954879676040456,,
AP-LLET39,5.0,-82.0,15.0,2025-04-02,AP-LLET39,12.790386130811664,8.951930654058314,69.33496171188887,15.918045705279749,4.531914893617022
AP-CCOM12,5.0,-66.0,9.0,2025-04-02,AP-CCOM12,3.239558707643814,3.289204097714736,57.180275090159846,,
AP-CIEN14,5.0,-85.0,9.0,2025-04-02,AP-CIEN14,4.774625689519307,10.331757289204099,72.50991557409637,17.23798266351458,2.771473601260835
AP-LLET48,5.0,-61.0,15.0,2025-04-02,AP-LLET48,1.7407407407407407,4.892828999211978,67.24194950033738,15.159180457052797,1.446808510638298
AP-MED58,5.0,-47.0,14.0,2025-04-01,AP-MED58,1.9992119779353823,4.721040189125295,65.65384869667015,17.09613869188337,1.6587864460204886
